"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",46975.8642207199,2689.93292457653,17.4635820066462,3.50406217054165e-22
"2","R.D.Spend",0.796584044055988,0.041347577923996,19.2655551800458,6.04043258855775e-24
"3","Marketing.Spend",0.0299078752057853,0.0155200123012554,1.92705228741128,0.0600303971911293
