"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",49652.502659507,7637.25846365082,6.50135161666006,1.93774520540293e-07
"2","R.D.Spend",0.798596253298846,0.0560373106112145,14.2511523945089,6.69994702356947e-16
"3","Administration",-0.0294170043586769,0.0582787567676899,-0.504763759390726,0.616980865829621
"4","Marketing.Spend",0.0326834594785951,0.0212677720067071,1.536759913934,0.133607158492918
"5","State2",121.321578924942,3750.80704405124,0.0323454599237137,0.974385695923955
"6","State3",237.567723794799,4127.28249611287,0.0575603254728852,0.954435814241819
