"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",49032.8991412521,2537.89694932379,19.3202876713795,2.78269692296538e-24
"2","R.D.Spend",0.854291370938809,0.0293055914982004,29.1511389896794,3.50032224369025e-32
