"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-195333.333333333,124790.207787294,-1.5652937581952,0.156145741374533
"2","Level",80878.7878787879,20111.7630241,4.02146682923175,0.003833318367823
